id,nome,cor,tamanho,tipo
231,Mundo do Trabalho,#D76148,15,1
232,Movimentos sociais,NULL,12,1
233,Cultura e indústria cultural,NULL,14,1
234,Cidadania,NULL,10,1
235,Sociologia contemporânea,NULL,12,1
236,Teorias Sociológicas,NULL,14,1
237,Sociologia Brasileira,NULL,12,1
238,"Meio ambiente, sociedade e comunicação",#D747B7,8,1
