id,nome,cor,tamanho,tipo
111,Interpretação de textos,#F7DC6E,20,1
112,Estrutura textual e análise de discurso,NULL,20,1
113,Gêneros textuais,NULL,20,1
114,Linguagem culta e coloquial,NULL,7,1
115,Funções da linguagem,NULL,8,1
116,Morfologia,#A2F76E,20,1
