id,nome,cor,tamanho,tipo
241,Filosofia Antiga,#CE4040,30,1
242,Filosofia contemporânea,NULL,10,1
243,Filosofia Moderna,NULL,18,1
244,Filosofia Medieval,NULL,4,1
245,Ética e justiça,NULL,20,1
246,Natureza do conhecimento,NULL,8,1
247,Existencialismo,#CEC940,6,1
