id,nome,cor,tamanho,tipo
131,Arte Contemporânea,#FBAE3F,20,1
132,Arte Brasileira,NULL,20,1
133,Música,NULL,10,1
134,Arte Moderna,NULL,15,1
135,Arte Renascentista,NULL,10,1
136,Dança,NULL,5,1
137,Arte Pré-história,NULL,5,1
138,Arte antiga,#FFAC9C,5,1
